folio;depto;area;s10b_10_01;s10b_10_02;s10b_10_03;s10b_10_04;s10b_10_05;s10b_10_06;s10b_10_07;s10b_10_08;s10b_10_09;s10b_10_10;s10b_10_11;s10b_10_12;s10b_10_13;s10b_10_14;s10b_10_15;s10b_10_16;s10b_10_17;s10b_10_18;s10b_10_19;s10b_10_20;s10b_10_21;s10b_10_22;s10b_10_23;s10b_10_24;s10b_10_25;s10b_10_26;s10b_10_27;s10b_10_28;s10b_10_29;s10b_10_30;s10b_10_31;s10b_10_32;s10b_11_01;s10b_11_02;s10b_11_03;s10b_11_04;s10b_11_05;s10b_11_06;s10b_11_07;s10b_11_08;s10b_12_01;s10b_12_02;s10b_12_03;s10b_13_01;s10b_13_02;s10b_13_03;s10b_13_04;s10b_13_05;s10b_13_06;s10b_13_07;s10b_13_08;s10b_13_09;s10b_13_10;s10b_13_11;s10b_13_12;s10b_13_13;s10b_13_14;upm;estrato;factor
713-05212286361-A-0341;Santa Cruz;Urbana;80;0;0;0;0;0;50;0;20;1200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;713-05212286361-A;13;535,796854333076
713-05213807242-A-0041;Santa Cruz;Urbana;40;96;0;10;75;15;68;0;25;0;0;135;48;168;336;0;180;30;30;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;280;0;0;0;0;75;0;0;0;0;0;0;0;0;176;0;0;0;0;0;0;0;713-05213807242-A;13;316,476994659546
713-05213807242-A-0101;Santa Cruz;Urbana;130;240;0;20;0;0;35;20;60;0;550;130;150;0;300;0;0;200;0;0;0;0;0;0;0;0;0;0;100;200;0;0;0;0;600;400;200;0;0;0;60;0;0;0;0;0;0;0;400;1200;0;0;0;0;0;0;0;713-05213807242-A;13;316,476994659546
713-05213807242-A-0161;Santa Cruz;Urbana;50;0;0;0;0;0;25;0;20;0;0;0;0;192;280;0;224;0;0;0;0;0;0;0;0;0;0;0;0;20;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05213807242-A;13;316,476994659546
713-05213807242-A-0221;Santa Cruz;Urbana;36;200;0;20;0;20;150;10;60;0;0;0;60;50;100;0;80;100;20;0;0;0;0;0;0;0;0;0;0;300;0;0;0;300;150;150;0;0;0;0;0;0;0;0;0;0;500;0;400;300;180;0;0;0;0;0;0;713-05213807242-A;13;316,476994659546
713-05213807242-A-0291;Santa Cruz;Urbana;38;200;0;0;0;0;40;10;40;0;0;0;0;300;200;0;0;0;80;0;0;0;0;0;0;1000;0;0;0;100;90;90;0;900;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05213807242-A;13;316,476994659546
713-05213807242-A-0411;Santa Cruz;Urbana;150;400;0;0;0;0;80;60;0;0;0;150;260;150;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;70;120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;200;1500;20;0;0;0;300;0;0;713-05213807242-A;13;316,476994659546
713-05213807242-A-0471;Santa Cruz;Urbana;130;150;0;0;0;0;80;0;60;0;0;0;104;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;600;20;0;0;0;0;0;0;713-05213807242-A;13;316,476994659546
713-05213807242-A-0541;Santa Cruz;Urbana;100;600;0;0;0;0;50;15;100;0;1400;160;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;30;170;195;0;0;0;0;0;0;0;0;0;250;50;0;0;0;0;0;300;700;0;0;0;0;0;0;0;713-05213807242-A;13;316,476994659546
713-05213807242-A-0601;Santa Cruz;Urbana;100;0;0;0;0;0;150;30;40;0;650;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1100;1200;0;0;0;0;0;0;0;713-05213807242-A;13;316,476994659546
713-05213807242-A-0661;Santa Cruz;Urbana;35;40;0;0;0;0;25;0;15;0;0;0;0;0;300;0;140;0;0;0;60;3800;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;480;0;0;713-05213807242-A;13;316,476994659546
713-05213807242-A-0721;Santa Cruz;Urbana;72;20;0;0;0;0;30;0;70;0;0;0;200;0;0;0;0;200;0;0;30;0;0;0;0;0;0;0;0;40;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;260;500;130;0;0;0;0;0;0;713-05213807242-A;13;316,476994659546
713-05215862215-A-0021;Santa Cruz;Urbana;150;40;0;0;0;0;50;18;0;1200;0;0;60;300;500;0;300;0;0;0;80;0;0;0;0;0;0;0;120;100;0;0;0;400;400;450;0;0;0;0;0;1200;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;713-05215862215-A;13;501,127646111524
713-05215862215-A-0071;Santa Cruz;Urbana;40;180;0;0;0;0;25;0;15;0;0;0;0;0;60;30;60;0;0;0;60;0;0;0;0;0;0;0;0;100;0;0;0;0;0;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05215862215-A;13;501,127646111524
713-05215862215-A-0111;Santa Cruz;Urbana;40;0;0;0;0;0;40;0;0;0;0;0;0;0;900;0;200;0;0;0;0;0;0;0;0;0;0;400;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05215862215-A;13;501,127646111524
713-05215862215-A-0151;Santa Cruz;Urbana;17;240;0;0;0;0;50;0;20;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;200;0;0;0;0;0;0;0;0;100;0;0;0;150;0;0;0;0;0;0;0;0;0;0;713-05215862215-A;13;501,127646111524
713-05215862215-A-0201;Santa Cruz;Urbana;0;0;0;0;0;0;50;0;20;0;0;0;0;300;450;150;150;200;0;0;100;0;0;0;0;0;0;500;120;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05215862215-A;13;501,127646111524
713-05215862215-A-0241;Santa Cruz;Urbana;50;200;0;0;0;0;100;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05215862215-A;13;501,127646111524
713-05215862215-A-0291;Santa Cruz;Urbana;50;260;0;90;0;0;60;0;15;0;0;0;0;150;300;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05215862215-A;13;501,127646111524
713-05215862215-A-0331;Santa Cruz;Urbana;30;200;0;0;0;0;150;7;20;0;0;0;0;20;40;0;80;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;150;150;150;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05215862215-A;13;501,127646111524
713-05215862215-A-0381;Santa Cruz;Urbana;60;20;0;15;0;0;50;0;0;0;0;0;0;0;150;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05215862215-A;13;501,127646111524
713-05215862215-A-0421;Santa Cruz;Urbana;150;120;0;0;0;0;50;18;30;0;0;0;200;0;0;0;0;100;0;0;50;0;0;0;60;0;0;0;0;0;20;0;0;300;200;350;0;0;0;0;0;0;0;0;0;0;0;0;450;2000;0;0;0;0;0;0;0;713-05215862215-A;13;501,127646111524
713-05215862215-A-0461;Santa Cruz;Urbana;60;80;0;0;0;0;25;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;713-05215862215-A;13;501,127646111524
713-05215862215-A-0511;Santa Cruz;Urbana;100;20;0;0;0;0;0;25;0;0;0;50;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;700;20;0;0;0;300;0;0;713-05215862215-A;13;501,127646111524
713-05218005724-A-0031;Santa Cruz;Urbana;30;430;0;5;0;0;30;30;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;600;0;0;0;0;0;0;0;450;600;0;0;0;0;0;0;0;713-05218005724-A;13;348,661923591744
713-05218005724-A-0071;Santa Cruz;Urbana;32;350;0;0;0;0;30;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;600;0;0;0;0;0;0;0;713-05218005724-A;13;348,661923591744
713-05218005724-A-0121;Santa Cruz;Urbana;50;350;0;0;0;0;70;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;400;0;0;0;0;0;0;0;0;0;0;0;0;180;0;0;0;0;0;0;0;0;0;0;713-05218005724-A;13;348,661923591744
713-05218005724-A-0171;Santa Cruz;Urbana;100;270;0;0;0;0;38;30;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;300;580;0;0;0;0;0;0;0;713-05218005724-A;13;348,661923591744
713-05218005724-A-0221;Santa Cruz;Urbana;40;30;0;0;0;0;60;70;0;0;0;0;0;200;300;100;50;80;0;0;35;0;0;0;0;0;0;0;120;200;150;120;0;200;200;300;150;150;0;0;0;0;0;0;0;0;150;0;0;0;0;0;500;0;1200;0;0;713-05218005724-A;13;348,661923591744
713-05218005724-A-0271;Santa Cruz;Urbana;100;230;0;0;0;0;80;9;0;0;0;120;50;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;150;100;120;0;200;450;250;0;0;0;0;0;0;0;0;0;0;100;0;850;2300;0;0;0;0;800;0;0;713-05218005724-A;13;348,661923591744
713-05218005724-A-0321;Santa Cruz;Urbana;120;200;0;0;0;0;60;9;0;0;0;0;0;100;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;200;100;70;0;300;100;150;0;0;0;0;0;0;0;0;0;0;200;0;800;2300;0;0;300;0;0;0;0;713-05218005724-A;13;348,661923591744
713-05218005724-A-0371;Santa Cruz;Urbana;45;260;0;0;0;0;70;16;40;0;0;0;130;0;0;0;0;50;15;0;0;0;0;0;0;0;0;0;0;80;100;75;0;200;150;200;0;0;20;0;0;0;0;0;0;0;200;0;500;1200;0;0;0;0;0;0;0;713-05218005724-A;13;348,661923591744
