"","Ent,","Entidad","Fecha de Datos","Ppto, Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"168",1405,"Gobierno Autónomo Municipal de Santuario de Quillacas",2021-03-31,6079151,8140693.66,2577276.77,2577276.77,2577276.77,0,0
"169",1406,"Gobierno Autónomo Municipal de Huanuni",2021-03-31,42821602,46629631.43,7373710.31,7373710.31,7279212.55,0,94497.76
"170",1407,"Gobierno Autónomo Municipal de Machacamarca",2021-03-31,8306427,8555562.96,1293052.89,1293052.89,1293052.89,0,0
"171",1408,"Gobierno Autónomo Municipal de Poopó (Villa Poopó)",2021-03-31,11923807,12167502.78,951597.54,951597.54,951223.54,0,374
"172",1409,"Gobierno Autónomo Municipal de Pazña",2021-03-31,7520870,7520870,896459.58,896459.58,896459.58,0,0
"173",1410,"Gobierno Autónomo Municipal de Antequera",2021-03-31,7399723,9832598.91,1778326.81,1778326.81,1778326.81,0,0
"174",1411,"Gobierno Autónomo Municipal de Eucaliptus",2021-03-31,5710511,5710511,526728.02,526728.02,526728.02,0,0
"175",1412,"Gobierno Autónomo Municipal de Santiago de Huari",2021-03-31,16004124,25303057.08,2643599.44,2643599.44,2643599.44,0,0
"176",1413,"Gobierno Autónomo Municipal de Totora",2021-03-31,6768432,6560732,469735.53,469735.53,469735.53,0,0
"177",1414,"Gobierno Autónomo Municipal de Corque",2021-03-31,10008980,10054898,1432584.73,1432584.73,1431384.73,0,1200
"178",1415,"Gobierno Autónomo Municipal de Choquecota",2021-03-31,2267606,2321743,258140.18,258140.18,258140.18,0,0
"179",1416,"Gobierno Autónomo Municipal de Curahuara de Carangas",2021-03-31,6207023,7198196.07,1459276.08,1459276.08,1459276.08,0,0
"180",1417,"Gobierno Autónomo Municipal de Turco",2021-03-31,6208474,8329410.37,2190550.25,2190550.25,2190550.25,0,0
"181",1418,"Gobierno Autónomo Municipal de Huachacalla",2021-03-31,1194137,1194137,201726.81,201726.81,179127.81,0,22599
"182",1419,"Gobierno Autónomo Municipal de Escara",2021-03-31,5797092,7482570.53,2363027.35,2296450.03,611081.34,66577.32,1685368.69
"183",1420,"Gobierno Autónomo Municipal de Cruz de Machacamarca",2021-03-31,2443270,4752666,2325902.33,2325902.33,2314442.33,0,11460
"184",1421,"Gobierno Autónomo Municipal de Yunguyo de Litoral",2021-03-31,809776,815109,89274.23,89274.23,89274.23,0,0
"185",1422,"Gobierno Autónomo Municipal de Esmeralda",2021-03-31,3782458,4343766.65,380279.61,380279.61,379289.61,0,990
"186",1423,"Gobierno Autónomo Municipal de Toledo",2021-03-31,14416269,18396696.84,3012855.27,3012855.27,3012855.27,0,0
"187",1424,"Gobierno Autónomo Municipal de Andamarca (Santiago de Andamarca)",2021-03-31,9967866,10777829.87,1356563.81,1356563.81,1356563.81,0,0
"188",1425,"Gobierno Autónomo Municipal de Belén de Andamarca",2021-03-31,3085598,4487639.56,1265179.35,1265179.35,1265179.35,0,0
"189",1426,"Gobierno Autónomo Municipal de Salinas de G, Mendoza",2021-03-31,21228308,21843049,202904.68,202904.68,202904.68,0,0
"190",1427,"Gobierno Autónomo Municipal de Pampa Aullagas",2021-03-31,3709950,4388366.92,844000.64,844000.64,844000.64,0,0
"191",1428,"Gobierno Autónomo Municipal de La Rivera",2021-03-31,4067888,6788507.26,265886.22,265886.22,265886.22,0,0
"192",1429,"Gobierno Autónomo Municipal de Todos Santos",2021-03-31,983920,1028349,155681.14,155681.14,155681.14,0,0
"193",1430,"Gobierno Autónomo Municipal de Carangas",2021-03-31,2578504,2927605.03,1147209.35,1147209.35,1147209.35,0,0
"194",1431,"Gobierno Autónomo Municipal de Sabaya",2021-03-31,13276796,11768564,852971.66,852971.66,775205.68,0,77765.98
"195",1432,"Gobierno Autónomo Municipal de Coipasa",2021-03-31,6169141,5903808.23,1146124.68,1146124.68,1146124.68,0,0
"196",1434,"Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca)",2021-03-31,8473038,8035317.56,1565556.54,1565556.54,1565556.54,0,0
"197",1435,"Gobierno Autónomo Municipal de Soracachi",2021-03-31,17961506,21264323.38,1599858.46,1599858.46,1599858.46,0,0
"198",1501,"Gobierno Autónomo Municipal de Potosí",2021-03-31,347378215,357793993.34,33585345.58,33585345.58,31019286.37,0,2566059.21
"199",1502,"Gobierno Autónomo Municipal de Tinguipaya",2021-03-31,33302723,38544236.12,10036099.43,10036099.43,9596024.5,0,440074.93
"200",1503,"Gobierno Autónomo Municipal de Yocalla",2021-03-31,9383989,9528425,565662.13,565662.13,565662.13,0,0
"201",1504,"Gobierno Autónomo Municipal de Urmiri",2021-03-31,2666799,2700821,223460.99,223460.99,223460.99,0,0
"202",1505,"Gobierno Autónomo Municipal de Uncía",2021-03-31,26653835,26653835,4276082.7,4276082.7,4275692.7,0,390
"203",1506,"Gobierno Autónomo Municipal de Chayanta",2021-03-31,18123821,18725637.62,2803358.74,2803358.74,2803358.74,0,0
"204",1507,"Gobierno Autónomo Municipal de Llallagua",2021-03-31,56417930,73175766.92,15628118.77,15628118.77,15065011.83,0,563106.94
"205",1508,"Gobierno Autónomo Municipal de Betanzos",2021-03-31,34740000,39288360.25,1603707.98,1603707.98,1603707.98,0,0
