"","Ent.","Entidad","Fecha de Datos","Ppto. Aprobado","Crédito Vigente","Comprometido","Devengado","Pagado","Saldo por Pagar","Deuda Flotante"
"18",1118,"Gobierno Autónomo Municipal de Yamparáez",2019-12-31,16609542,26168921.43,20171189.39,20171189.39,19720691.72,0,450497.67
"19",1119,"Gobierno Autónomo Municipal de Camargo",2019-12-31,27691795,53694727.81,43853607.95,43853607.95,43853572.95,0,35
"20",1120,"Gobierno Autónomo Municipal de San Lucas",2019-12-31,46375871,70270621.42,58152267.39,58152267.39,56316800.93,0,1835466.46
"21",1121,"Gobierno Autónomo Municipal de Incahuasi",2019-12-31,21627893,39309319.94,31529583.55,31529583.55,31529583.55,0,0
"22",1122,"Gobierno Autónomo Municipal de Villa Serrano",2019-12-31,22060679,34619369.81,22630800.87,22630800.87,22573318.16,0,57482.71
"23",1123,"Gobierno Autónomo Municipal de Camataqui (Villa Abecia)",2019-12-31,8888495,15635374.18,12161860.44,12161860.44,12161860.44,0,0
"24",1124,"Gobierno Autónomo Municipal de Culpina",2019-12-31,32143140,65153117.4,52748178.62,52748178.62,52748178.62,0,0
"25",1125,"Gobierno Autónomo Municipal de Las Carreras",2019-12-31,6181211,27561012.58,25777781.83,25777781.83,25777781.83,0,0
"26",1126,"Gobierno Autónomo Municipal de Villa Vaca Guzmán",2019-12-31,18402444,28213762.05,21832461.45,21832461.45,21818019.36,0,14442.09
"27",1127,"Gobierno Autónomo Municipal de Villa de Huacaya",2019-12-31,4589643,11729502.61,6697516.68,6697516.68,6689649.85,0,7866.83
"28",1128,"Gobierno Autónomo Municipal de Machareti",2019-12-31,17811213,27585841.99,24903891.68,24903891.68,24900767.68,0,3124
"29",1129,"Gobierno Autónomo Municipal de Villa Charcas",2019-12-31,28105857,37841760.2,27267584.73,27267584.73,27267584.73,0,0
"30",1201,"Gobierno Autónomo Municipal de La Paz",2019-12-31,2384232906,2570286949.07,2236442837.93,2236442837.93,1972963707.84,0,263479130.09
"31",1202,"Gobierno Autónomo Municipal de Palca",2019-12-31,24364900,39384644.89,27913025.96,27913025.96,27603781.71,0,309244.25
"32",1203,"Gobierno Autónomo Municipal de Mecapaca",2019-12-31,28344739,58419700.65,46340905.99,46340905.99,46340416.49,0,489.5
"33",1204,"Gobierno Autónomo Municipal de Achocalla",2019-12-31,51848502,85221566.01,58609626.75,58607626.75,58607626.75,2000,0
"34",1205,"Gobierno Autónomo Municipal de El Alto de La Paz",2019-12-31,1583325414,1841585353.05,1489855376.61,1489855376.61,1372518551.99,0,117336824.62
"35",1206,"Gobierno Autónomo Municipal de Viacha",2019-12-31,148246592,194199804.14,140856556.89,140679299.87,137853607.97,177257.02,2825691.9
"36",1207,"Gobierno Autónomo Municipal de Guaqui",2019-12-31,11859220,22001595.57,15574542.94,15574542.94,14986235.14,0,588307.8
"37",1208,"Gobierno Autónomo Municipal de Tiahuanacu",2019-12-31,13274107,27029630.19,19546534.76,19546534.76,19546534.76,0,0
"38",1209,"Gobierno Autónomo Municipal de Desaguadero",2019-12-31,16860248,23486011.83,19695592.95,19695592.95,19695592.95,0,0
"39",1210,"Gobierno Autónomo Municipal de Caranavi",2019-12-31,59180106,92077645.72,71904439.45,71904439.45,64552667.05,0,7351772.4
